curve_measure,days,contango_rate_pct,backwardation_rate_pct,flat_rate_pct,contango_rate_log,backwardation_rate_log,mean_pct_slope,median_pct_slope,mean_log_slope,median_log_slope
M2/M1,5318,0.8286949981195938,0.1666039864610756,0.004701015419330576,0.8286949981195938,0.1666039864610756,0.05752385570847487,0.06395621787289973,0.05377752136252572,0.06199424145383869
M3/M1,5318,0.8318916886047386,0.16622790522752914,0.00188040616773223,0.8318916886047386,0.16622790522752914,0.09559945814936786,0.10814333308873803,0.08650733649763784,0.10268594185951865
M4/M1,5287,0.8327974276527331,0.1658785700775487,0.0013240022697181767,0.8327974276527331,0.1658785700775487,0.12276518281472999,0.13601366864221265,0.10853960950587453,0.12752535248204147
M6/M1,4684,0.8121263877028181,0.18531169940222034,0.0025619128949615714,0.8121263877028181,0.18531169940222034,0.1485627189418964,0.16185132824967285,0.12696297958098604,0.15001470147273777
M9/M1,3554,0.8202025886325267,0.17979741136747326,0.0,0.8202025886325267,0.17979741136747326,0.19366192313003464,0.2089668739409838,0.15964927528585326,0.18976617125294434
M3/M2,5318,0.8127115456938698,0.17882662655133508,0.008461827754795035,0.8127115456938698,0.17882662655133508,0.03413431304745261,0.03802569710940262,0.03272981513511213,0.03732054076569798
M4/M3,5287,0.8051825231700397,0.1864951768488746,0.008322299981085681,0.8051825231700397,0.1864951768488746,0.022991358408727704,0.02472952086553315,0.022237714065007862,0.024428695684961865
M5/M4,4762,0.7767744645107098,0.20369592608147838,0.019529609407811843,0.7767744645107098,0.20369592608147838,0.015795153514452268,0.015930248702161087,0.015348279595157062,0.015804693929895128
M6/M5,4684,0.7561912894961571,0.2218189581554227,0.021989752348420155,0.7561912894961571,0.2218189581554227,0.01292809744646306,0.012300446012327937,0.012588300533891745,0.012225410092087208
M7/M6,4671,0.7692143010062085,0.21301648469278528,0.017769214301006208,0.7692143010062085,0.21301648469278528,0.01119444748139392,0.010080645161290258,0.01091829001999492,0.010030174359937251
M8/M7,4368,0.7158882783882784,0.2625915750915751,0.02152014652014652,0.7158882783882784,0.2625915750915751,0.007967281064909907,0.006888791221146717,0.007735422621139098,0.006865171908668636
M9/M8,3554,0.7087788407428249,0.24366910523353968,0.04755205402363534,0.7087788407428249,0.24366910523353968,0.007616819565745533,0.0077590206139931395,0.007201474542405938,0.007729074192247561
all_adjacent_M1_M9,3554,0.4558244231851435,0.030669667979741137,,0.4558244231851435,0.030669667979741137,,,,
